title,remote_work,contract_type,Competence,end_date,company_description,requirements,niveau d'expérience,company_name,niveau d'études requis,number_of_positions,url,description,Region,sector,posted_date,id
Consultant GCP (H/F) | Casablanca (Maroc),Hybride,CDI,,04/08/2025,"Capgemini est un leader mondial, responsable et multiculturel, regroupant 325 000 personnes dans plus de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la...","En tant que Data Engineer GCP, vous serez responsable de la conception, du développement et de la maintenance des pipelines de données sur l’environnement Google Cloud Platform. Vous interviendrez dans un contexte de transformation...",,Capgemini,,,/offre-emploi-consultant-gcp-hf-recrutement-capgemini-casablanca-172195.html,,,['Informatique'],04/06/2025,172195
Ingénieur Réseaux et Télécoms Junior | Casablanca (Maroc),Non,CDI,,21/07/2025,"Acteur incontournable du courtage en Assurances, ECA Assurances construit depuis plus de 25 ans, des programmes d’Assurances à destination des particuliers, des travailleurs non-salariés et des entreprises. Leader Français dans...","Rejoindre ECA Assurances, c'est dire oui à une expérience qui a du sens, celle où les rencontres et les missions vous poussent à grandir chaque jour au sein d’une équipe engagée et...",,Eca Assurances,,,/offre-emploi-ingenieur-reseaux-et-telecoms-junior-recrutement-eca-assurances-casablanca-171765.html,,,['Informatique'],04/06/2025,171765
Consultant Support SI Qualité | Rabat (Maroc),Hybride,CDI,,04/08/2025,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","Vous aurez comme missions : • Assurer le maintien en conditions opérationnelles des outils : Smartsolve, Trackwise, Argus et l’écosystème Oracle Cloud. • Apporter un support technique et fonctionnel, notamment lors de...",,ALTEN Maroc,,,/offre-emploi-consultant-support-si-qualite-recrutement-alten-maroc-rabat-172187.html,,,['Informatique'],04/06/2025,172187
Chef de Projet BI | Casablanca (Maroc),Non,CDI,,15/07/2025,"La Centrale Automobile Chérifienne (CAC) est l'importateur exclusif au Maroc des marques Volkswagen, Volkswagen Utilitaires, Audi, Skoda, Porsche, Bentley, Seat et Cupra, ayant chacune développée une réelle identité les...","Dans le cadre de notre stratégie de valorisation des données, nous recrutons un Chef de Projet BI pour piloter les projets décisionnels en environnement Microsoft. Vous serez responsable de la coordination entre les métiers, les...",,CAC (Centrale Automobile Chérifienne),,,/offre-emploi-chef-de-projet-bi-recrutement-cac-centrale-automobile-cherifienne-casablanca-171578.html,,,"['Informatique', 'Autres services']",04/06/2025,171578
Responsable Sécurité des Systèmes d’Information | Rabat (Maroc),Non,CDI,,04/08/2025,"Née de la volonté de répondre aux enjeux économiques, politiques et sociaux du Maroc et de l'Afrique, l'Université Internationale de Rabat (UIR) est la première une université publique à...","Définir, mettre en œuvre et faire appliquer la politique de sécurité des systèmes d'information (SSI). Piloter le Système de Management de la Sécurité de l'Information (SMSI) : mise...",,Université Internationale de Rabat (UIR),,,/offre-emploi-responsable-securite-des-systemes-dinformation-recrutement-universite-internationale-de-rabat-uir-rabat-172169.html,,,"['Informatique', 'Internet / Multimédia']",04/06/2025,172169
Change Management Consultant | Casablanca (Maroc),Hybride,CDI,,04/08/2025,"Leyton CognitX is the AI & tech advisory of Leyton, bringing together a dynamic team of over 200 tech experts and data scientists. We specialize in delivering innovative AI and technology solutions that transform how organizations operate and...","We are seeking a skilled and experienced Change Management Consultant to join our team. In this role, you will lead the development and execution of change management strategies, ensuring the successful adoption of initiatives across the...",,Leyton,,,/offre-emploi-change-management-consultant-recrutement-leyton-casablanca-172168.html,,,['Informatique'],04/06/2025,172168
Support Technique sur Réseaux Cuivre et Fibre (H/F) | Rabat (Maroc),Hybride,CDI,,14/07/2025,"AFD.TECH part of Accenture, spécialiste du conseil en IT et Télécommunications, a rejoint le groupe Accenture en 2022. Accenture est le Leader mondial des services aux entreprises et administrations, avec une expertise de pointe dans les...","Dans le cadre de notre croissance, nous recrutons un(e) Conseiller(ère) Support Technique Réseaux Cuivre et Fibre afin d’assurer le soutien technique aux techniciens d’intervention Orange et sous-traitants sur les réseaux...",,AFD.Tech,,,/offre-emploi-support-technique-sur-reseaux-cuivre-et-fibre-hf-recrutement-afd.tech-rabat-169650.html,,,"['Informatique', 'Telecom']",03/06/2025,169650
Développeur(se) Full Stack PHP | Rabat (Maroc),Non,CDI,,16/06/2025,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","Dans le cadre du développement de nos activités, nous recherchons un(e) développeur(se) Full Stack PHP sur Rabat capable d’intervenir sur l’ensemble des couches d’une application web. Vos principales missions...",,ALTEN Maroc,,,/offre-emploi-developpeurse-full-stack-php-recrutement-alten-maroc-rabat-170695.html,,,"['Informatique', 'Telecom']",03/06/2025,170695
Data Engineer | Fès (Maroc),Hybride,CDI,,25/06/2025,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...",• Conception et déploiement de systèmes d'IA • Modélisation avancée pour résoudre des problèmes complexes • Réalisation des recettes des évolutions des outils •...,,ALTEN Maroc,,,/offre-emploi-data-engineer-recrutement-alten-maroc-fes-171037.html,,,['Informatique'],03/06/2025,171037
Consultant Support FAI | Fès (Maroc),Non,Intérim,,07/07/2025,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","Traiter les plaintes unitaires « Grand Public » et « Entreprises » sur les périmètres d'accès ADSL , FTTH et les services associés (VOIP, IPTV.), Analyser, diagnostiquer et résoudre les...",,ALTEN Maroc,,,/offre-emploi-consultant-support-fai-recrutement-alten-maroc-fes-171305.html,,,"['Informatique', 'Telecom']",03/06/2025,171305
