title,company_name,description,posted_date:,niveau d'études requis,niveau d'expérience,contract_type,Region,Competence
Consultant Senior C#/.NET (H/F), CODAGILE,Nous sommes une société de conseil technologique offrant des services et des solutions en nouvelles technologies et en développement...,21.03.2023 ,,,, Rabat-Salé-Kénitra, C# NET
Développeur .NET / C# - Agadir, USELEKT,Nous recherchons un Développeur .NET / C#  basé à Agadir. Missions :Développement de logiciels en C# / Winforms ...,21.03.2023 ,,,, Agadir, C# ENTITY FRAMEWORK FOUNDATION NET SQL WINFORMS
Business Solutions Analyst, N.C.,Nous sommes à la recherche pour notre entreprise spécialisée dans plusieurs secteurs d'activité un Business Solutions Analyst (H/F) qui...,21.03.2023 ,,,, Casablanca-Mohammedia, BI SAP
Key User SAP, TECTRA CASA TERTIAIRE – RECRUTEMENT,Tâches régulières :Fournir une assistance quotidienne aux utilisateurs finauxOrganiser et animer des réunions et des ateliers régulières...,21.03.2023 ,,,, Casablanca-Mohammedia, BI CARL MAXIMO SAP
Ingénieur de Production (H/F), OBJECTWARE NE,Le Groupe Objectware fondé en 1999 est une ESN (Entreprise de Services du Numérique) spécialisée dans le Conseil et l'Ingénierie en...,21.03.2023 ,,,, Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -..., AUTOSYS BATCH INFRASTRUCTURE INGÉNIERIE DE PRODUCTION POWERSHELL SHELL SQL
Ingénieur d'Etude et de Développement Cobol (H/F), OBJECTWARE NE,Le Groupe Objectware fondé en 1999 est une ESN (Entreprise de Services du Numérique) spécialisée dans le Conseil et l'Ingénierie en...,21.03.2023 ,,,, Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -..., COBOL
Scrum Master, RED TIC,"Attaché à une Tribe au sein de la SU COO-Tech, Mode de delivery AGILE GOLD avec devs in house.Les principales missions du Scrum Master :...",21.03.2023 ,,,, Casablanca-Mohammedia, AGILE GOLD JIRA SCRUM
Head Of Sales NI, NERA TELECOMMUNICATIONS,JOB TITLE        :    Head of Sales NI REPORTING LINE    :  ...,21.03.2023 ,,,, Casablanca-Mohammedia, BUSINESS ADMINISTRATION MANAGEMENT MICROSOFT VENTE
Informaticien (H/F) - Casablanca, GROUPE TECTRA,"Tectra Maroc recrute pour son client, une entreprise de service basée à CASABLANCA, un/e informaticienLes missions principales sont:- La...",20.03.2023 ,,,, Casablanca-Mohammedia, 
Intégrateur Technique (H/F), OBJECTWARE NE,Le Groupe Objectware fondé en 1999 est une ESN (Entreprise de Services du Numérique) spécialisée dans le Conseil et l'Ingénierie en...,18.03.2023 ,,,, Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -..., APACHE CFT JBOSS MONGODB ORACLE POWERSHELL REDHAT SHELL SWIFT TOMCAT WEBLOGIC
"Consultant Infra Système, Virtualisation et Sauvegarde", VISION BUSINESS CONSULTING,"Dans le cadre de l'accompagnement de l'un de nos clients BANCAIRE, nous sommes à la recherche d'un Consultant Infrastructure...",17.03.2023 ,,,, Casablanca-Mohammedia, CENTOS GPO LINUX NETBACKUP REDHAT RSA SQL SUSE TSM VEEAM VMWARE
Data Base Administrator (DBA) - CDI / Casablanca, AFRICAWORK,"Leader mondial dans le domaine de solutions et services d’authentification, de marquage, de traçabilité et de détection des fraudes,...",17.03.2023 ,,,, Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -..., ETL LINUX MICROSOFT MYSQL ORACLE PL SQL POSTGRESQL RAC RMAN SHELL SQL STAR
Vigie - Pilote de Flux en Centre d'Appels, LYCAMOBILE,"Nous sommes à la recherche d'un Vigie - Pilote de Flux pour notre centre d'appels, en shift de nuit.Missions :Votre mission...",17.03.2023 ,,,, Casablanca-Mohammedia, EXCEL MICROSOFT
Technicien IT, TECTRA CASA TERTIAIRE – RECRUTEMENT,"Missions :Gestion, installation et maintenance du matériel informatique (postes informatiques, périphériques) ;Administration et...",17.03.2023 ,,,, Casablanca-Mohammedia, LINUX MAC MAC OS
Ingénieur Réseau de Transmission DVP/IP - Casablanca, DAMA,"DAMA recrute pour le compte de SOREAD 2M, un(e) Ingénieur Réseau de transmission DVP/IP sur la ville de Casablanca.﻿﻿Missions :Coordination...",17.03.2023 ,,,, Casablanca-Mohammedia, 
Ingénieur Réseau de Télédiffusion - Casablanca, DAMA,"DAMA recrute pour le compte de SOREAD 2M, un(e) Ingénieur Réseau de Télédiffusion sur la ville de Casablanca.Missions :Assurer la...",17.03.2023 ,,,, Casablanca-Mohammedia, 
Finance Support Analyst (SAP), TECTRA CASA TERTIAIRE – RECRUTEMENT,Tâches régulières :Fournir une assistance quotidienne aux utilisateurs finauxOrganiser et animer des réunions et des ateliers régulières...,17.03.2023 ,,,, Casablanca-Mohammedia, BI CARL MAXIMO SAP
Data Protection Officer, ATIRES PARTNERS,"International firm, full-service leasing, is looking for a Data Protection Officer in Casablanca.Data Protection and Privacy :You...",17.03.2023 ,,,, Casablanca-Mohammedia, BIG DATA DATACOM INTELLIGENCE MARKETING MANAGEMENT OPC PYTHON
Chef de Projet MOA/MOE Trade & Finance, RED TIC,"Missions :Gestion et suivi du projet,Gestion de la relation projet avec les différents acteurs projet internes et externesCadrage...",21.03.2023 ,,,, Casablanca-Mohammedia, 
Ingénieur Pré-production / Intégrateur Technique (H/F), OBJECTWARE NE,Le Groupe Objectware fondé en 1999 est une ESN (Entreprise de Services du Numérique) spécialisée dans le Conseil et l'Ingénierie en...,21.03.2023 ,,,, Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -..., APACHE CFT JBOSS MONGODB ORACLE POWERSHELL REDHAT SHELL SWIFT TOMCAT WEBLOGIC
Ingénieur d'Etude et de Développement C#/.NET (H/F), OBJECTWARE NE,Le Groupe Objectware fondé en 1999 est une ESN (Entreprise de Services du Numérique) spécialisée dans le Conseil et l'Ingénierie en...,21.03.2023 ,,,, Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -..., C# NET
