title,url,posted_date,end_date,number_of_positions,company_description,requirements
"Responsable Analyse des Données, Reporting et Suivi des Performances | Rabat (Maroc)",http://www.rekrute.com/web/20250605110521/https://www.rekrute.com/offre-emploi-responsable-analyse-des-donnees-reporting-et-suivi-des-performances-recrutement-societe-de-developpement-des-services-publics-de-distribution-rabat-170279.html,05/04/2025,05/06/2025,1,"La SOCIETE DE DEVELOPPEMENT DES SERVICES PUBLICS DE DISTRIBUTION S.A. est une société de Développement Local, qui a pour missions de participer à la gestion et au développement des Services Publics de distribution, et cela...","Nous recherchons un profil au poste de ""Responsable Analyse des Données, Reporting et Suivi des Performances"".

	Ses principales missions :

	• Mettre en place des normes de gouvernance, de qualité et de sécurité..."
Développeurs JAVA 4 ans d'expérience minimum | Rabat / Casablanca / Oujda (Maroc),http://www.rekrute.com/web/20250605110521/https://www.rekrute.com/offre-emploi-developpeurs-java-4-ans-dexperience-minimum-recrutement-sqli-maroc-rabat-casablanca-oujda-162130.html,15/10/2024,06/06/2025,,"Fondé en 2003 à Rabat, SQLI Maroc est le centre de Delivery et d’Innovation du Groupe SQLI. Implanté sur 3 sites (Rabat, Oujda et Casablanca), nous construisons les plateformes digitales les plus avancées et innovantes pour...","Vous êtes passionné(e) par les nouvelles technologies et à la recherche de nouveaux défis professionnels ? SQLI Maroc, est constamment à la recherche de nouveaux talents pour renforcer ses équipes. Si vous partagez nos..."
Expert PowerCard/Credit Card IT Business Analyst | Casablanca/Rabat (Maroc),http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-dxc-technology-recrutement-expert-powercardcredit-card-it-business-analyst-casablancarabat-79189.html,04/05/2018,04/07/2018,1,DXC Technology est le fruit d’un partenariat stratégique entre Enterprise Services de Hewlett Packard Enterprise et l’investisseur n°1 au...,The Business Analyst (BA) will be responsible for gathering and understanding the business needs and requirements of stakeholders within specific projects based...
"DBA Applicatif Monétique/PowerCard | Technopolis, Salé (Maroc)",http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-dxc-technology-recrutement-dba-applicatif-monetiquepowercard-technopolis-sale-79188.html,04/05/2018,04/07/2018,1,DXC Technology est le fruit d’un partenariat stratégique entre Enterprise Services de Hewlett Packard Enterprise et l’investisseur n°1 au...,"Monitoring ,installation configuration patching des environnements de  base de données,
	 Sauvegarde ,migration et restauration des..."
"Consultant Technique Microsoft Dynamics CRM | Technopolis, Salé (Maroc)",http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-dxc-technology-recrutement-consultant-technique-microsoft-dynamics-crm-technopolis-sale-79186.html,04/05/2018,04/07/2018,2,DXC Technology est le fruit d’un partenariat stratégique entre Enterprise Services de Hewlett Packard Enterprise et l’investisseur n°1 au...,"- Modéliser et développer les applications selon le langage approprié.

- Développer les solutions : programmes, interfaces,..."
Administrateur Sénior z/OS MainFrame | Technopolis (Maroc),http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-dxc-technology-recrutement-administrateur-senior-zos-mainframe-technopolis-79184.html,04/05/2018,04/07/2018,1,DXC Technology est le fruit d’un partenariat stratégique entre Enterprise Services de Hewlett Packard Enterprise et l’investisseur n°1 au...,"Mission :

Les fonctions de l’administrateur z/OS sont les suivantes :


	Administration Systèmes des serveurs et plateformes Mainframe..."
Testeur Intégrateur Confirmé - Freelance | Rabat (Maroc),http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-welink-recrutement-testeur-integrateur-confirme---freelance-rabat-79183.html,04/05/2018,04/07/2018,3,"WeLinK est un cabinet de Conseil & Consulting IT fondé en 2011, spécialisé dans le Sourcing/Head Hunting par freelances IT. Nous...","Pour le compte de notre client, multinationale spécialisée dans l'infogérance et l'intégration informatique, nous recrutons..."
"Account Security Officer | Hay Riad, Rabat (Maroc)",http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-dxc-technology-recrutement-account-security-officer-hay-riad-rabat-79181.html,04/05/2018,04/07/2018,1,DXC Technology est le fruit d’un partenariat stratégique entre Enterprise Services de Hewlett Packard Enterprise et l’investisseur n°1 au...,"Gestion de la sécurité compte: 


	S’approprier les règles de sécurité du client.
	Veiller au respect des exigences..."
Ingénieur d'Etudes et Développement | Strasbourg (France),http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-objectware-ne-recrutement-ingenieur-detudes-et-developpement-strasbourg-79175.html,04/05/2018,04/07/2018,5,"Le groupe Objectware est une ESN/SSII de 400 consultants intervenants pour des grands comptes, essentiellement dans le secteur banque-assurance.

Le...","Notre groupe en fort développement (100% de croissance en 3 ans), recherche actuellement plusieurs ingénieurs d'études et..."
Chef de Projet Technique Java | Casablanca (Maroc),http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-oceane-consulting-recrutement-chef-de-projet-technique-java-casablanca-79174.html,04/05/2018,04/07/2018,1,"Océane Consulting Maroc, est la filiale du groupe Océane Consulting  basé en France. La société offre...","En tant que responsable d’équipe, vous êtes responsable du reporting de l’activité de l’équipe ainsi que..."
Analyste Développeur Front - Freelance | Casablanca (Maroc),http://www.rekrute.com/web/20180506132020/http://www.rekrute.com/emploi-welink-recrutement-analyste-developpeur-front---freelance-casablanca-79166.html,04/05/2018,04/07/2018,1,"WeLinK est un cabinet de Conseil & Consulting IT fondé en 2011, spécialisé dans le Sourcing/Head Hunting par freelances IT. Nous...","Pour le compte de notre client, grande multinationale spécialisée dans l'infogérance et l'intégration informatique, nous..."
